Name,Water(g),Energy(g),Protein(g),Fat(g),Carbohydrate(mg),Fiber(mg),Ash(mg),Calcium(CA)(mg),Phospor(P)(mg),Iron(Fe)(mg),Sodium(Na)(mg),Pottasium(Ka)(mg),Copper(Cu)(mg),Zinc(Zn)(mg),Retinol(vit.A)(mcg),?-carotene(mcg),Carotene(Total)(mcg),Thiamin(vit.B1)(mcg),Riboflavin(vit.B2)(mg),Niacin(mg),Vitamin_C(mg),Eaten%,Raw_Processed,Group
"Cayenne pepper, fresh",71.2,120,4.7,2.4,19.9,15.2,1.8,45,85,2.5,34,706.2,0.29,0.6,-,"1,694","11,050",0.24,0.09,1.7,70,85,Single,Seasoning
"Cloves, dried",23.3,330,5.2,8.9,57.4,10,5.2,740,100,4.9,282,961,0.3,-,-,265,-,200,-,-,-,100,Single,Seasoning
"Cajuput Tree, leaf, powdered",13.1,301,14.2,10.9,49,9.4,12.8,86,250,44.1,180,619,1.31,0.7,-,"5,400",-,0.1,0.32,5,-,100,Single,Seasoning
"Ginger, root, fresh",55,51,1.5,1,10.1,12,1.2,21,39,1.6,12,441.7,0.48,0.7,-,-,9,0.02,0.17,3.3,4,97,Single,Seasoning
Candlenut,7,675,19,63,8,3,3,80,200,2,25,430.7,0.23,0.8,-,-,-,0.06,0.06,0.4,-,100,Single,Seasoning
"Corpiande, seed, dried",11.2,418,14.1,16.1,54.2,12.3,4.4,630,370,17.9,91,"1,787.00",0.95,4.6,-,75,"1,570",0.2,0.35,1.8,-,100,Single,Seasoning
Pucungmit (Kluwek),51,310,10,24,13.5,-,1.5,40,100,2,-,-,-,-,-,-,-,0.15,-,-,30,80,Single,Seasoning
"Turmeric, fresh",84.9,69,2,2.7,9.1,0.6,1.3,24,78,3.3,6,406.7,0.05,0.4,-,12,-,0.03,0.02,0.4,1,78,Single,Seasoning
"Pepper, dried",12.9,365,11.5,6.8,64.4,1,4.4,460,200,16.4,4,99.7,0.89,1.1,-,0.3,-,0.2,0.1,2.5,-,100,Single,Seasoning
"Nutmeg, seeds, dried",14.3,518,7.5,36.4,40.1,3.5,1.7,120,240,4.6,2,78.7,0.94,2,-,7,-,0.2,0.02,0.5,-,95,Single,Seasoning
"Coconut, young, water, fresh",95.5,17,0.2,0.1,3.8,-,0.4,15,8,0.2,1,149,0.04,0.1,-,-,-,-,-,-,1,100,Single,Beverages
